train_size,test_rmse,train_rmse,expert_l2_device,max_expert_l2,gate_l2,bound
8000,0.12143685668706894,0.11679165065288544,"[4.591754913330078, 14.303016662597656, 5.359178066253662, 12.757706642150879]",14.303016662597656,0.4146384000778198,0.3716762560383029
16000,0.09065612405538559,0.08912299573421478,"[17.05385971069336, 5.172651290893555, 5.081691265106201, 13.707954406738281]",17.05385971069336,0.41137421131134033,0.28596087960594946
24000,0.07845320552587509,0.07693764567375183,"[21.580896377563477, 5.305345058441162, 6.106809139251709, 6.338842391967773]",21.580896377563477,0.4092501997947693,0.2442130697099487
32000,0.06939218193292618,0.06851150095462799,"[5.943796157836914, 15.689021110534668, 23.03496742248535, 5.4574666023254395]",23.03496742248535,0.4236305356025696,0.21831317194252042
40000,0.06430473178625107,0.06338638812303543,"[14.885818481445312, 26.601869583129883, 5.020510673522949, 5.589024543762207]",26.601869583129883,0.4258541464805603,0.1997093544351029
48000,0.05745208263397217,0.056969985365867615,"[18.19288444519043, 5.492715835571289, 27.45186424255371, 5.911146640777588]",27.45186424255371,0.4305649995803833,0.18549957866161895
56000,0.0531395822763443,0.052411146461963654,"[6.524038791656494, 5.93682861328125, 30.999755859375, 5.7320098876953125]",30.999755859375,0.4233645498752594,0.1740100564035713
64000,0.04912962764501572,0.048584066331386566,"[33.081764221191406, 5.367075443267822, 15.563177108764648, 6.190368175506592]",33.081764221191406,0.422371506690979,0.16467714338003617
72000,0.046659018844366074,0.046014245599508286,"[5.534367561340332, 37.2237548828125, 6.442298889160156, 11.42336368560791]",37.2237548828125,0.4284864068031311,0.15709887230206446
80000,0.044045597314834595,0.04345129430294037,"[37.20283889770508, 6.776449680328369, 5.747093200683594, 6.189998149871826]",37.20283889770508,0.42045101523399353,0.1501017782572168
88000,0.04195820912718773,0.041531581431627274,"[5.626201629638672, 27.062122344970703, 37.948890686035156, 6.325480937957764]",37.948890686035156,0.43836989998817444,0.1446473921538066
96000,0.039458271116018295,0.038961537182331085,"[5.702378749847412, 40.05500793457031, 5.873716354370117, 7.29060173034668]",40.05500793457031,0.41247743368148804,0.13890998329030793
104000,0.03731831908226013,0.036777056753635406,"[5.778270721435547, 6.095512866973877, 32.347076416015625, 32.21662139892578]",32.347076416015625,0.4371146857738495,0.13457479188958366
112000,0.03667772561311722,0.0361427403986454,"[9.06322956085205, 42.934024810791016, 6.2933831214904785, 5.460568428039551]",42.934024810791016,0.42576345801353455,0.1304917478108174
120000,0.03587152063846588,0.03536175936460495,"[6.766469478607178, 6.713016033172607, 6.142391681671143, 42.75883102416992]",42.75883102416992,0.42685478925704956,0.12673927405784322
128000,0.033074140548706055,0.032613031566143036,"[46.037906646728516, 5.931578636169434, 6.9618000984191895, 6.594359874725342]",46.037906646728516,0.4223344027996063,0.12329358036730036
136000,0.03287956118583679,0.03237074241042137,"[6.117157459259033, 7.453697681427002, 43.580360412597656, 6.9401164054870605]",43.580360412597656,0.4256039261817932,0.12015449352277964
144000,0.031648002564907074,0.031184855848550797,"[7.013993740081787, 47.6857795715332, 5.9503889083862305, 7.087049961090088]",47.6857795715332,0.421939492225647,0.11727741020373901
152000,0.030698079615831375,0.030248792842030525,"[15.194252967834473, 5.144443035125732, 6.75662088394165, 48.56660079956055]",48.56660079956055,0.4305576980113983,0.11476256719387332
160000,0.029158445075154305,0.028767859563231468,"[27.208297729492188, 39.85791015625, 6.379341125488281, 5.414687156677246]",39.85791015625,0.43741098046302795,0.11220515306670228
168000,0.029447870329022408,0.029056744650006294,"[5.1960835456848145, 6.4566144943237305, 21.879377365112305, 45.62498092651367]",45.62498092651367,0.43350955843925476,0.10993725737001174
176000,0.0280762929469347,0.027683569118380547,"[6.654129505157471, 13.31364631652832, 5.044859886169434, 50.527339935302734]",50.527339935302734,0.4247528314590454,0.10771177103008525
184000,0.028149623423814774,0.02772902138531208,"[49.95246887207031, 6.154330253601074, 6.63467264175415, 8.609915733337402]",49.95246887207031,0.4260329604148865,0.10568430299974738
192000,0.02811388112604618,0.027732640504837036,"[5.861433982849121, 6.685088157653809, 51.093833923339844, 7.453141212463379]",51.093833923339844,0.4251311719417572,0.10377171677807845
200000,0.026810303330421448,0.026485390961170197,"[50.60374069213867, 5.063661098480225, 6.819770336151123, 22.52373504638672]",50.60374069213867,0.4372035562992096,0.10213182374262936
208000,0.027592387050390244,0.02721182443201542,"[5.477089881896973, 6.096501350402832, 54.49496078491211, 25.025907516479492]",54.49496078491211,0.4392445385456085,0.10050450602757313
216000,0.025710882619023323,0.025322522968053818,"[6.427805423736572, 20.477598190307617, 54.31929016113281, 5.442371845245361]",54.31929016113281,0.4380647838115692,0.09886199172571448
224000,0.025946978479623795,0.025594495236873627,"[7.200898170471191, 6.700122833251953, 5.909313201904297, 52.86274719238281]",52.86274719238281,0.42531919479370117,0.09712756249401998
232000,0.02427680231630802,0.023978251963853836,"[4.7012248039245605, 53.37158203125, 6.589623928070068, 17.620168685913086]",53.37158203125,0.4269329309463501,0.09569494720883447
240000,0.025147030130028725,0.0248057022690773,"[8.343432426452637, 5.726869106292725, 51.30354690551758, 6.753415584564209]",51.30354690551758,0.4236292541027069,0.09423056159175937
248000,0.02442801743745804,0.024092447012662888,"[43.32379150390625, 31.483964920043945, 5.030213832855225, 6.262532711029053]",43.32379150390625,0.44069424271583557,0.09300536375596907
256000,0.024937674403190613,0.02458740584552288,"[6.261798858642578, 8.463631629943848, 56.53559875488281, 6.690616130828857]",56.53559875488281,0.4289880394935608,0.09177010050449741
264000,0.02356334961950779,0.023202870041131973,"[6.782235145568848, 27.825868606567383, 4.918614387512207, 47.5191764831543]",47.5191764831543,0.44035810232162476,0.09057827176040302
272000,0.023743603378534317,0.023420201614499092,"[5.118916034698486, 54.67380142211914, 6.783649921417236, 13.430292129516602]",54.67380142211914,0.4306211471557617,0.0893878158271209
280000,0.024024680256843567,0.023643018677830696,"[45.87467956542969, 6.477928161621094, 34.183921813964844, 5.113731861114502]",45.87467956542969,0.4426514804363251,0.08829974443190641
288000,0.023831861093640327,0.023532768711447716,"[7.129698753356934, 5.960819721221924, 55.11814880371094, 6.6556010246276855]",55.11814880371094,0.42556706070899963,0.08714267652083774
296000,0.024110421538352966,0.02377285622060299,"[39.350563049316406, 6.583341121673584, 42.42811584472656, 5.463146209716797]",42.42811584472656,0.44352662563323975,0.08615524641224265
304000,0.02355412021279335,0.02323194593191147,"[6.99798059463501, 54.7562255859375, 7.128802299499512, 5.83583927154541]",54.7562255859375,0.4205453097820282,0.0850570515336002
312000,0.022594429552555084,0.022298941388726234,"[5.35731315612793, 31.66162872314453, 6.750966548919678, 49.09574508666992]",49.09574508666992,0.4410484731197357,0.08426767504297604
320000,0.023249436169862747,0.022961052134633064,"[7.06260871887207, 5.787261962890625, 57.140655517578125, 6.375680446624756]",57.140655517578125,0.42428871989250183,0.08324952199374788
328000,0.0224900022149086,0.02223202958703041,"[42.66336441040039, 36.646297454833984, 5.287019729614258, 6.399585247039795]",42.66336441040039,0.443497896194458,0.08239649440423986
336000,0.022153129801154137,0.02193477749824524,"[55.04294967651367, 26.161556243896484, 5.142144680023193, 6.569337844848633]",55.04294967651367,0.4391936957836151,0.08163959676002343
344000,0.022989977151155472,0.022725211456418037,"[7.113952159881592, 6.486927032470703, 56.74897003173828, 5.723891735076904]",56.74897003173828,0.42471274733543396,0.08066977059557576
352000,0.02264571376144886,0.022417254745960236,"[5.8998541831970215, 7.163634777069092, 7.811685562133789, 56.39042282104492]",56.39042282104492,0.42446425557136536,0.07985937257165898
360000,0.022520113736391068,0.0222758986055851,"[6.62214994430542, 5.516410827636719, 13.485137939453125, 57.9260368347168]",57.9260368347168,0.43477004766464233,0.079203676868995
368000,0.022163769230246544,0.02193158119916916,"[56.93611145019531, 7.3877997398376465, 5.995119094848633, 5.874001502990723]",56.93611145019531,0.42553257942199707,0.07834290250501641
376000,0.02251146361231804,0.022295990958809853,"[17.381040573120117, 51.722686767578125, 7.336880683898926, 5.5103044509887695]",51.722686767578125,0.43061450123786926,0.07761060238965573
384000,0.022058317437767982,0.021802978590130806,"[55.58432388305664, 5.712161540985107, 7.937311172485352, 5.915243625640869]",55.58432388305664,0.42643314599990845,0.07689735581865831
392000,0.022031499072909355,0.0217678751796484,"[5.600164890289307, 8.665635108947754, 55.618038177490234, 6.03071403503418]",55.618038177490234,0.4308764338493347,0.0762528264650644
400000,0.020822660997509956,0.020575853064656258,"[31.74350929260254, 5.938004493713379, 53.88981246948242, 5.408936023712158]",53.88981246948242,0.4435384273529053,0.07568857714772624
408000,0.020557638257741928,0.020383192226290703,"[32.79671096801758, 4.899928092956543, 6.484067916870117, 51.53999710083008]",51.53999710083008,0.44283708930015564,0.07500613796672179
416000,0.022480003535747528,0.022242331877350807,"[6.001608848571777, 5.484611988067627, 11.114852905273438, 55.81962585449219]",55.81962585449219,0.43870142102241516,0.07437429053528467
424000,0.02069467306137085,0.020534537732601166,"[23.09971046447754, 4.505462646484375, 62.50779342651367, 6.559974193572998]",62.50779342651367,0.4336668848991394,0.0737677215513892
432000,0.020522696897387505,0.020349590107798576,"[36.44158935546875, 6.393403053283691, 46.67133712768555, 5.28317928314209]",46.67133712768555,0.4438117444515228,0.07311243257020175
440000,0.021428583189845085,0.02118658646941185,"[5.791938781738281, 6.029074668884277, 7.004406452178955, 58.15953826904297]",58.15953826904297,0.42535826563835144,0.07246753642011534
448000,0.02010693959891796,0.019932836294174194,"[5.260654449462891, 41.3863525390625, 40.13344192504883, 6.27358341217041]",41.3863525390625,0.44424062967300415,0.07190178431222924
456000,0.020568465813994408,0.020366422832012177,"[5.34085750579834, 6.128995418548584, 53.32419204711914, 32.995849609375]",53.32419204711914,0.44400104880332947,0.07146907158476834
464000,0.020639214664697647,0.020452862605452538,"[52.866912841796875, 5.654581069946289, 29.834566116333008, 5.292936325073242]",52.866912841796875,0.4437304735183716,0.07091986166852798
472000,0.02091212570667267,0.02070128545165062,"[7.063673496246338, 56.7551155090332, 6.703676700592041, 5.645049571990967]",56.7551155090332,0.42435404658317566,0.07025243230004617
480000,0.019857347011566162,0.019655905663967133,"[11.287885665893555, 5.141641616821289, 6.202310085296631, 60.63200759887695]",60.63200759887695,0.4254961311817169,0.0697787243932567
488000,0.019085299223661423,0.018942315131425858,"[66.32254028320312, 6.23073148727417, 23.25462532043457, 4.553786754608154]",66.32254028320312,0.4350796341896057,0.06940152219970357
496000,0.01937696896493435,0.01918981783092022,"[25.88129425048828, 4.844223499298096, 56.16535949707031, 6.647040843963623]",56.16535949707031,0.43931418657302856,0.06886654379373824
504000,0.018821068108081818,0.01868486776947975,"[6.543703079223633, 21.667314529418945, 4.4723029136657715, 68.96588134765625]",68.96588134765625,0.4329974353313446,0.06842619182887655
512000,0.020417470484972,0.020235348492860794,"[57.74494552612305, 7.038907527923584, 5.750929832458496, 6.4870500564575195]",57.74494552612305,0.42518457770347595,0.06780590654872219
520000,0.02004743367433548,0.019842693582177162,"[5.825741767883301, 7.51737117767334, 6.238766670227051, 58.30248260498047]",58.30248260498047,0.42558223009109497,0.06735388991750528
528000,0.02026340365409851,0.02007324993610382,"[6.047913551330566, 57.502681732177734, 6.199446678161621, 6.834187030792236]",57.502681732177734,0.42535504698753357,0.06689575920581024
536000,0.01906511001288891,0.018934130668640137,"[4.67415714263916, 6.511893272399902, 24.32379150390625, 60.037994384765625]",60.037994384765625,0.4357793629169464,0.06656178121908668
544000,0.019384272396564484,0.01927279494702816,"[55.648841857910156, 6.209268569946289, 4.732947826385498, 26.63517189025879]",55.648841857910156,0.44003310799598694,0.06613067064621288
