train_size,test_rmse,train_rmse,expert_l2_device,max_expert_l2,gate_l2,bound,no_of_experts_chosen,avg_gate_weights_test,avg_raw_gate_weights_test,avg_raw_entropy_test,avg_effective_entropy_test
8000,0.2852540921344824,0.261294651139964,"[7.479507923126221, 4.891593933105469, 6.3424391746521, 6.775606155395508]",7.479507923126221,0.872205913066864,0.7246922247705584,1.58575,"[0.09787441045045853, 0.43835026025772095, 0.11647110432386398, 0.347304105758667]","[0.1277184784412384, 0.4034251570701599, 0.14497409760951996, 0.3238823115825653]",0.7630129766845704,0.35460960357666016
16000,0.2138096745941896,0.1971117285770511,"[5.9504194259643555, 6.186822891235352, 8.350593566894531, 9.812437057495117]",9.812437057495117,0.9074914455413818,0.5632104645208729,1.4274375,"[0.42009106278419495, 0.2681826949119568, 0.2678552567958832, 0.04387108236551285]","[0.3970419466495514, 0.2615971863269806, 0.2570350468158722, 0.08432571589946747]",0.6400298010253906,0.2660987088012695
24000,0.20877916536630817,0.19645454276329372,"[4.862306118011475, 10.551448822021484, 10.816421508789062, 4.00432825088501]",10.816421508789062,0.9205343127250671,0.481727531861524,1.3552083333333333,"[0.5095440149307251, 0.2997174859046936, 0.190728560090065, 9.859968486125581e-06]","[0.4829433262348175, 0.28880423307418823, 0.1953907608985901, 0.03286168351769447]",0.5838754342651368,0.2277827682495117
32000,0.17812488333715,0.16681370241568633,"[8.764012336730957, 10.654926300048828, 5.352955341339111, 8.444144248962402]",10.654926300048828,0.9100402593612671,0.42892371033763194,1.396375,"[0.23871666193008423, 0.15200339257717133, 0.3873226046562195, 0.22195737063884735]","[0.24086570739746094, 0.16414818167686462, 0.3752281963825226, 0.21975797414779663]",0.5812444772338867,0.25037911743164065
40000,0.17244052010767685,0.16287281786144125,"[8.732658386230469, 13.60628890991211, 5.5027360916137695, 9.308829307556152]",13.60628890991211,0.9160251617431641,0.3931376511799353,1.37575,"[0.2717110216617584, 0.07288239151239395, 0.4165213704109192, 0.23888525366783142]","[0.27004340291023254, 0.09635832160711288, 0.40097030997276306, 0.23262792825698853]",0.5592814697265625,0.23577617919921876
48000,0.1544266999195436,0.14569675107757743,"[8.372632026672363, 7.744781017303467, 15.804932594299316, 5.231985092163086]",15.804932594299316,0.9079503417015076,0.3652176695606644,1.40525,"[0.2556249797344208, 0.3364518880844116, 0.10362496227025986, 0.30429816246032715]","[0.2499433159828186, 0.32863473892211914, 0.11957340687513351, 0.301848441362381]",0.5927800622558593,0.25765984298706057
56000,0.15543929096780745,0.14736804830577505,"[8.932710647583008, 10.62038516998291, 5.488937854766846, 15.192852973937988]",15.192852973937988,0.9211850762367249,0.34303722149219606,1.348607142857143,"[0.26771238446235657, 0.1389823853969574, 0.3981055021286011, 0.19519972801208496]","[0.268720418214798, 0.1487751603126526, 0.3880416750907898, 0.19446270167827606]",0.5263372598266601,0.2217857875061035
64000,0.15560719393547934,0.14938171969147154,"[11.076482772827148, 5.390162944793701, 14.6279296875, 3.40427303314209]",14.6279296875,0.9385715126991272,0.3249494852810696,1.275609375,"[0.23493562638759613, 0.5626741647720337, 0.2023901790380478, 0.0]","[0.22838248312473297, 0.5417122840881348, 0.20352208614349365, 0.02638290822505951]",0.47033836853027344,0.1751075318145752
72000,0.15043633820386654,0.1446943889394128,"[18.044904708862305, 10.994513511657715, 5.130881309509277, 2.8817102909088135]",18.044904708862305,0.9352700114250183,0.3099472979413766,1.286888888888889,"[0.19196300208568573, 0.19537487626075745, 0.6126601696014404, 1.7996931092056911e-06]","[0.1873566210269928, 0.20244187116622925, 0.588506281375885, 0.02169506438076496]",0.46789998901367186,0.18219634490966796
80000,0.1470174953663224,0.14131828866429233,"[10.054275512695312, 13.983576774597168, 5.627969741821289, 17.015079498291016]",17.015079498291016,0.9441066384315491,0.29665490744055534,1.249375,"[0.23794390261173248, 0.23626810312271118, 0.5248215198516846, 0.000966384366620332]","[0.23213785886764526, 0.23428764939308167, 0.5118561387062073, 0.021718209609389305]",0.424370290222168,0.15949425674438478
