train_size,test_rmse,train_rmse,expert_l2_device,max_expert_l2,gate_l2,bound,no_of_experts_chosen,avg_gate_weights_test,avg_raw_gate_weights_test,avg_raw_entorpy_test,avg_effective_entropy_test
8000,0.16835545003414154,0.16496288776397705,"[2.639406442642212, 5.6294050216674805, 1.5848188400268555, 2.6174941062927246]",5.6294050216674805,0.4752056300640106,0.20934084942996647,1.218999981880188,"[0.6129603981971741, 0.13719341158866882, 0.0, 0.2498462051153183]","[0.5834530591964722, 0.138943150639534, 0.025574475526809692, 0.25202932953834534]",0.42879462242126465,0.14443174004554749
16000,0.14000964164733887,0.13962827622890472,"[2.9171228408813477, 2.037583827972412, 6.842833995819092, 3.2360494136810303]",6.842833995819092,0.48006388545036316,0.15558527734263708,1.1743124723434448,"[0.2345454841852188, 0.0, 0.13332578539848328, 0.6321287155151367]","[0.23598065972328186, 0.016959868371486664, 0.13385118544101715, 0.6132082939147949]",0.33663296699523926,0.11383908987045288
24000,0.10555574297904968,0.10184364765882492,"[1.9590470790863037, 6.429710388183594, 5.4891557693481445, 6.400651454925537]",6.429710388183594,0.48249685764312744,0.13005386527810323,1.152500033378601,"[0.7485412359237671, 0.09748867899179459, 0.1318310797214508, 0.022139055654406548]","[0.7368835806846619, 0.0997445285320282, 0.1365949809551239, 0.026776840910315514]",0.24809026718139648,0.09718524664640427
32000,0.09122008085250854,0.08602981269359589,"[5.879561424255371, 6.855734825134277, 9.01805591583252, 1.9460572004318237]",9.01805591583252,0.4849317669868469,0.11528752075697034,1.1292500495910645,"[0.04090593010187149, 0.048871494829654694, 0.2013707160949707, 0.7088518738746643]","[0.04730752110481262, 0.05412650480866432, 0.1984550952911377, 0.7001108527183533]",0.2380785346031189,0.08300860971212387
40000,0.08676762133836746,0.08133353292942047,"[9.752141952514648, 2.0102150440216064, 8.331380844116211, 7.352228164672852]",9.752141952514648,0.48630276322364807,0.10456722262090244,1.1176249980926514,"[0.0713915228843689, 0.7093484401702881, 0.1960766762495041, 0.02318333461880684]","[0.07506763935089111, 0.7029997110366821, 0.19439558684825897, 0.027537165209650993]",0.21498249471187592,0.07640599459409714
48000,0.0771544873714447,0.0724739208817482,"[2.133820056915283, 7.698471546173096, 11.157402992248535, 8.57205867767334]",11.157402992248535,0.4887935519218445,0.09665670988081163,1.0960625410079956,"[0.7775934338569641, 0.019785834476351738, 0.1548931896686554, 0.04772749915719032]","[0.7708556056022644, 0.02384808659553528, 0.15325726568698883, 0.05203906074166298]",0.17914491891860962,0.06262823194265366
56000,0.07646090537309647,0.07085387408733368,"[9.231985092163086, 2.0991640090942383, 7.315743446350098, 15.243067741394043]",15.243067741394043,0.4888511896133423,0.09071504546712307,1.0958036184310913,"[0.16666249930858612, 0.7378681302070618, 0.019556861370801926, 0.07591252028942108]","[0.16612663865089417, 0.7325478196144104, 0.022321101278066635, 0.07900440692901611]",0.1800575852394104,0.06412187218666077
64000,0.08611690998077393,0.07965333014726639,"[2.7551088333129883, 7.526148319244385, 5.216579914093018, 16.32849884033203]",16.32849884033203,0.48844021558761597,0.08554233950788522,1.101718783378601,"[0.674455463886261, 0.23142783343791962, 0.0, 0.09411664307117462]","[0.6669915914535522, 0.2253187894821167, 0.010005909018218517, 0.09768369048833847]",0.21065765619277954,0.06658145785331726
72000,0.0799209251999855,0.07333903759717941,"[2.5692319869995117, 14.873416900634766, 2.8317487239837646, 11.031805992126465]",14.873416900634766,0.492788165807724,0.08103182458262446,1.0643888711929321,"[0.837163507938385, 0.12159402668476105, 1.4014259477335145e-06, 0.041241031140089035]","[0.8276264071464539, 0.12193126976490021, 0.0069535658694803715, 0.043488774448633194]",0.13370999693870544,0.04223155602812767
80000,0.061801861971616745,0.05670791491866112,"[9.398096084594727, 18.30861473083496, 13.18642520904541, 2.319766044616699]",18.30861473083496,0.49181410670280457,0.07754692158519375,1.0700875520706177,"[0.019926389679312706, 0.15009135007858276, 0.03274771198630333, 0.7972345352172852]","[0.02307385578751564, 0.14905664324760437, 0.03536592423915863, 0.7925035953521729]",0.13422806560993195,0.04551597684621811
88000,0.05932601913809776,0.05505658686161041,"[2.2920145988464355, 11.010305404663086, 18.61166000366211, 10.216034889221191]",18.61166000366211,0.4920580983161926,0.07431011714750853,1.0680568218231201,"[0.7970947027206421, 0.0357375293970108, 0.14404161274433136, 0.02312626875936985]","[0.7914158701896667, 0.04013638570904732, 0.1427697390317917, 0.025678040459752083]",0.13410566747188568,0.045319970697164536
96000,0.06117554008960724,0.0565304271876812,"[9.71060848236084, 21.364961624145508, 16.098989486694336, 2.2526111602783203]",21.364961624145508,0.49146562814712524,0.07160953482062794,1.0731666088104248,"[0.01770365983247757, 0.051394931972026825, 0.1457003951072693, 0.7852010130882263]","[0.02031872235238552, 0.05416181683540344, 0.14458167552947998, 0.7809377908706665]",0.1384798288345337,0.047670044004917145
104000,0.07048461586236954,0.06557624787092209,"[13.439985275268555, 1.0852164030075073, 2.65873384475708, 19.143054962158203]",19.143054962158203,0.4945180416107178,0.0689595778575638,1.0490672588348389,"[0.019790424033999443, 6.348519718812895e-07, 0.8666725754737854, 0.11353635787963867]","[0.021440280601382256, 0.0052964831702411175, 0.8596304655075073, 0.11363273113965988]",0.10105718672275543,0.032152336090803146
112000,0.052213236689567566,0.049215130507946014,"[21.102678298950195, 10.36766529083252, 2.7600228786468506, 13.767463684082031]",21.102678298950195,0.49069759249687195,0.06677737497563173,1.0789821147918701,"[0.1488104909658432, 0.1276397556066513, 0.703421413898468, 0.020128393545746803]","[0.14832505583763123, 0.13022735714912415, 0.6997580528259277, 0.02168952114880085]",0.14839883148670197,0.05197405442595482
120000,0.06877540051937103,0.06619516760110855,"[20.89035415649414, 2.6937942504882812, 1.7253143787384033, 27.734718322753906]",27.734718322753906,0.49612700939178467,0.0650300403969476,1.0346583127975464,"[0.0006344833527691662, 0.9034827947616577, 6.391551323758904e-07, 0.09588207304477692]","[0.002092190785333514, 0.8972848653793335, 0.004211997613310814, 0.09641100466251373]",0.07736407220363617,0.022467050701379776
128000,0.06253933161497116,0.059449512511491776,"[1.1441612243652344, 2.6008026599884033, 18.527570724487305, 22.011211395263672]",22.011211395263672,0.49507778882980347,0.0629236089733336,1.0439374446868896,"[0.0, 0.8650206327438354, 0.024395041167736053, 0.11058439314365387]","[0.0041846949607133865, 0.8593656420707703, 0.02570105902850628, 0.11074862629175186]",0.08928042650222778,0.0283386018127203
